,,,,,,,RSU,No.,5,,,,,,
,Article 6,System,Administration-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2400.52340.020,,Retirement,,,"$10,880.00",$0.00,"$10,880.00",,$0.00,$0.00,"$10,880.00",$0.00,"$10,880.00",100.00%
,1000.0000.2400.52380.020,,Retirement,,,"$3,255.00",$0.00,"$3,255.00",,$0.00,$0.00,"$3,255.00",$0.00,"$3,255.00",100.00%
,1000.0000.2400.53400.020,,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.020,,Postage,,,"$1,000.00",$0.00,"$1,000.00",,$0.00,$0.00,"$1,000.00",$0.00,"$1,000.00",100.00%
,1000.0000.2400.55800.020,,Travel,,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2400.56000.020,,Supplies,,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,1000.0000.2400.58100.020,,Dues &,Fees,,"$1,150.00",$0.00,"$1,150.00",,$0.00,$0.00,"$1,150.00",$0.00,"$1,150.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$393,759.00",$0.00,"$393,759.00",,$0.00,$0.00,"$393,759.00","$310,615.82","$83,143.18",21.12%
,Function:,,SCHOOL,ADMINISTRATION,- 2400,"$393,759.00",$0.00,"$393,759.00",,$0.00,$0.00,"$393,759.00","$310,615.82","$83,143.18",21.12%
,,Cost,Center:,MORSE STREET,- 020,"$393,759.00",$0.00,"$393,759.00",,$0.00,$0.00,"$393,759.00","$310,615.82","$83,143.18",21.12%
,1000.0000.2400.51040.030,,Admin,Salary,,"$137,465.00",$0.00,"$137,465.00",,$0.00,$0.00,"$137,465.00","$137,466.58",($1.58),0.00%
,1000.0000.2400.51180.030,,Support,Wages,,"$51,619.00",$0.00,"$51,619.00",,$0.00,$0.00,"$51,619.00","$3,150.00","$48,469.00",93.90%
,1000.0000.2400.52040.030,,Admin,Benefits,,"$31,295.00",$0.00,"$31,295.00",,$0.00,$0.00,"$31,295.00",$0.00,"$31,295.00",100.00%
