,,,,RSU,No.,5,,
,FY25 Article,4 Other,Instruction- Proposed,,,,,
From,Date:,3/1/2024,To Date: 3/31/2024,Definition:,FY25,Proposed,,
,,,,,,,,Percent
,,,,FY21 Actual FY22 Actual,,FY23 Actual,FY24 Adopted FY25 Proposed,Dollar Difference Difference
,Account,,Description,,,,,
Cost,Center:,9-12 - 990,,$0.00,$226.40,,$0.00 $0.00 $0.00,$0.00 0.00
Grand,Total:,,,"$604,154.88 $829,188.15",,"$918,822.06","$1,044,071.00 $1,034,849.00","($9,222.00) (0.88)"
,,,,End,of Report,,,
,,03/13/2024,,,,,,39
