,,,,,,,,RSU,No.,5,,,,,
Article,4,Other,Instruction-,Adopted,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,,Percentage
,,,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,,
Program:,,CO-CURRICULAR,K-8 - 9100,,,,$0.00,,$0.00,,"$1,352.09","$1,272.00","$1,359.00",$87.00,6.84
Function:,REGULAR,,INSTRUCTION -,1000,,,$0.00,,$0.00,,"$1,352.09","$1,272.00","$1,359.00",$87.00,6.84
Cost,Center:,MORSE STREET,- 020,,,,$0.00,,$0.00,,"$1,352.09","$1,272.00","$1,359.00",$87.00,6.84
,1000.9100.1000.51500.030,,Stipends,,,,"$8,070.92","$5,332.51",,,"$7,593.00","$3,815.00","$3,816.00",$1.00,0.03
,1000.9100.1000.52000.030,,Stipend,Benefits,,,$39.06,,$2.82,,$132.44,$396.00,$85.00,($311.00),(78.54)
,1000.9100.1000.52300.030,,MPERS,Employer,Contribution,,$0.00,,$0.00,,$294.86,$329.00,$171.00,($158.00),(48.02)
,1000.9100.1000.58100.030,,Dues &,Fees,,,$0.00,,$0.00,,$0.00,$200.00,$200.00,$0.00,0.00
Program:,,CO-CURRICULAR,K-8 - 9100,,,,"$8,109.98","$5,335.33",,,"$8,020.30","$4,740.00","$4,272.00",($468.00),(9.87)
,1000.9200.1000.51500.030,,Extra-Curricular,,Stipends - PES,,$0.00,,$0.00,,"$2,016.00",$0.00,"$2,016.00","$2,016.00",0.00
,1000.9200.1000.52000.030,,Extra-Curricular,,Stipends Benefits,- PES,$0.00,,$0.00,,$270.28,$0.00,$122.00,$122.00,0.00
,1000.9200.1000.52300.030,,Extra-Curricular,,Stipends,Retirements -,PES$0.00,,$0.00,,$94.84,$0.00,$90.00,$90.00,0.00
Program:,,EXTRA-CURRICULAR,K-8 -,9200,,,$0.00,,$0.00,,"$2,381.12",$0.00,"$2,228.00","$2,228.00",0.00
Function:,REGULAR,,INSTRUCTION -,1000,,,"$8,109.98","$5,335.33",,"$10,401.42",,"$4,740.00","$6,500.00","$1,760.00",37.13
Cost,Center:,POWNAL,ELEMENTARY -,030,,,"$8,109.98","$5,335.33",,"$10,401.42",,"$4,740.00","$6,500.00","$1,760.00",37.13
,1000.9100.1000.51500.040,,Stipends,,,,"$10,470.01","$11,035.99",,"$12,375.07",,"$9,798.00","$9,798.00",$0.00,0.00
,1000.9100.1000.52000.040,,Stipend,Benefits,,,$91.33,,$5.01,,$779.03,$573.00,$633.00,$60.00,10.47
,1000.9100.1000.52300.040,,RETIREMENT,,,,$13.83,,$0.00,,$339.46,$476.00,$438.00,($38.00),(7.98)
,1000.9100.1000.58100.040,,Dues &,Fees,,,$175.00,,$0.00,,$0.00,$400.00,$400.00,$0.00,0.00
Program:,,CO-CURRICULAR,K-8 - 9100,,,,"$10,750.17","$11,041.00",,"$13,493.56",,"$11,247.00","$11,269.00",$22.00,0.20
,Page 34,of 80,,,,,,,,,,,,,
