,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,4 Other,Instruction-,,Proposed,,,,,,,,,,
From,Date:,7/1/2026,,To Date:,,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,,Description,,,,,,,,,
,1000.9100.1000.51500.030,,,,Stipends,,"$6,321.00",,"$3,966.00","$2,672.00","$5,944.00","$5,944.00",,$0.00,0.00
,1000.9100.1000.52000.030,,,,Stipend,Benefits,$815.03,,$229.19,$354.75,$200.00,$200.00,,$0.00,0.00
,1000.9100.1000.52300.030,,,,MPERS,Employer,$242.59,,$177.27,$119.42,$266.00,$266.00,,$0.00,0.00
,,,,,Contribution,,,,,,,,,,
Program:,,CO-CURRICULAR,K-8 - 9100,,,,"$7,378.62",,"$4,372.46","$3,146.17","$6,410.00","$6,410.00",,$0.00,0.00
,1000.9200.1000.51500.030,,,,Extra-Curricular,Stipends -,"$2,016.00",,"$2,166.00","$2,416.00","$2,116.00","$2,116.00",,$0.00,0.00
,,,,,PES,,,,,,,,,,
,1000.9200.1000.52000.030,,,,Extra-Curricular,Stipends,$261.86,,$284.35,$312.99,$71.00,$71.00,,$0.00,0.00
,,,,,Benefits,- PES,,,,,,,,,
,1000.9200.1000.52300.030,,,,Extra-Curricular,Stipends,$77.40,,$96.79,$107.99,$95.00,$95.00,,$0.00,0.00
,,,,,Retirements,- PES,,,,,,,,,
Program:,,EXTRA-CURRICULAR,K-8 -,9200,,,"$2,355.26",,"$2,547.14","$2,836.98","$2,282.00","$2,282.00",,$0.00,0.00
Function:,REGULAR,INSTRUCTION,-,1000,,,"$9,733.88",,"$6,919.60","$5,983.15","$10,795.00","$13,125.00",,"$2,330.00",21.58
Cost,Center:,POWNAL,ELEMENTARY -,030,,,"$9,733.88",,"$6,919.60","$5,983.15","$10,795.00","$13,125.00",,"$2,330.00",21.58
,1000.9100.1000.51500.040,,,,Stipends,,"$11,055.41",,"$9,998.44","$10,590.00","$11,190.00","$11,190.00",,$0.00,0.00
,1000.9100.1000.52000.040,,,,Stipend,Benefits,"$2,628.77",,"$2,216.33","$1,946.30",$376.00,$376.00,,$0.00,0.00
,1000.9100.1000.52300.040,,,,RETIREMENT,,$330.59,,$342.80,$362.50,$500.00,$500.00,,$0.00,0.00
,1000.9100.1000.58100.040,,,,Dues &,Fees,$275.00,,$0.00,$378.40,$560.00,$560.00,,$0.00,0.00
Program:,,CO-CURRICULAR,K-8 - 9100,,,,"$14,289.77","$12,557.57",,"$13,277.20","$12,626.00","$12,626.00",,$0.00,0.00
Function:,REGULAR,INSTRUCTION,-,1000,,,"$14,289.77","$12,557.57",,"$13,277.20","$12,626.00","$12,626.00",,$0.00,0.00
Cost,Center:,MAST LANDING,- 040,,,,"$14,289.77","$12,557.57",,"$13,277.20","$12,626.00","$12,626.00",,$0.00,0.00
,,,,,,,Page,40 of 89,,,,,,,
