,,,,,,RSU,No.,5,,,,,,
Article,7 School,Administration-,,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2400.52080.030,Support,Benefits,,"$12,633.00",$0.00,"$12,633.00",,$0.00,$0.00,"$12,633.00",$0.00,"$12,633.00",100.00%
,1000.0000.2400.52340.030,Retirement,,,"$6,145.00",$0.00,"$6,145.00",,$0.00,$0.00,"$6,145.00",$0.00,"$6,145.00",100.00%
,1000.0000.2400.52380.030,Retirement,,,"$2,581.00",$0.00,"$2,581.00",,$0.00,$0.00,"$2,581.00",$0.00,"$2,581.00",100.00%
,1000.0000.2400.53400.030,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.030,Postage,,,$400.00,$0.00,,$400.00,$0.00,$0.00,$400.00,$0.00,$400.00,100.00%
,1000.0000.2400.55800.030,Travel,,,$450.00,$0.00,,$450.00,$0.00,$0.00,$450.00,$0.00,$450.00,100.00%
,1000.0000.2400.56000.030,Supplies,,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2400.56400.030,Admin,Books,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,1000.0000.2400.58100.030,Dues &,Fees,,$275.00,$0.00,,$275.00,$0.00,$0.00,$275.00,$0.00,$275.00,100.00%
,,Program:,OVERHEAD,- 0000,"$243,903.00",$0.00,"$243,903.00",,$0.00,$0.00,"$243,903.00","$140,616.58","$103,286.42",42.35%
,Function:,SCHOOL,ADMINISTRATION,- 2400,"$243,903.00",$0.00,"$243,903.00",,$0.00,$0.00,"$243,903.00","$140,616.58","$103,286.42",42.35%
,Cost,Center: POWNAL,ELEMENTARY,- 030,"$243,903.00",$0.00,"$243,903.00",,$0.00,$0.00,"$243,903.00","$140,616.58","$103,286.42",42.35%
,1000.0000.2400.51040.040,Admin,Salaries,,"$243,393.00",$0.00,"$243,393.00",,$0.00,$0.00,"$243,393.00","$243,251.80",$141.20,0.06%
,1000.0000.2400.51180.040,Support,Wages,,"$63,202.00",$0.00,"$63,202.00",,$0.00,$0.00,"$63,202.00","$66,195.49","($2,993.49)",-4.74%
,1000.0000.2400.52040.040,Admin,Benefits,,"$30,440.00",$0.00,"$30,440.00",,$0.00,$0.00,"$30,440.00",$0.00,"$30,440.00",100.00%
,1000.0000.2400.52080.040,Support,Benefits,,"$20,426.00",$0.00,"$20,426.00",,$0.00,$0.00,"$20,426.00",$0.00,"$20,426.00",100.00%
,1000.0000.2400.52340.040,Retirement,,,"$10,880.00",$0.00,"$10,880.00",,$0.00,$0.00,"$10,880.00",$0.00,"$10,880.00",100.00%
,1000.0000.2400.52380.040,Retirement,,,"$3,160.00",$0.00,"$3,160.00",,$0.00,$0.00,"$3,160.00",$0.00,"$3,160.00",100.00%
,1000.0000.2400.53400.040,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.040,Postage,,,"$1,400.00",$0.00,"$1,400.00",,$0.00,$0.00,"$1,400.00",$0.00,"$1,400.00",100.00%
,1000.0000.2400.55800.040,Travel,,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2400.56000.040,Supplies,,,$250.00,$0.00,,$250.00,$0.00,$0.00,$250.00,$0.00,$250.00,100.00%
,1000.0000.2400.56400.040,Admin,Books,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,1000.0000.2400.58100.040,Dues &,Fees,,"$1,278.00",$0.00,"$1,278.00",,$0.00,$0.00,"$1,278.00",$0.00,"$1,278.00",100.00%
,,Program:,OVERHEAD,- 0000,"$375,069.00",$0.00,"$375,069.00",,$0.00,$0.00,"$375,069.00","$309,447.29","$65,621.71",17.50%
,Function:,SCHOOL,ADMINISTRATION,- 2400,"$375,069.00",$0.00,"$375,069.00",,$0.00,$0.00,"$375,069.00","$309,447.29","$65,621.71",17.50%
,,Cost Center:,MAST LANDING,- 040,"$375,069.00",$0.00,"$375,069.00",,$0.00,$0.00,"$375,069.00","$309,447.29","$65,621.71",17.50%
,1000.0000.2400.51040.050,Admin,Salaries,,"$252,681.00",$0.00,"$252,681.00",,$0.00,$0.00,"$252,681.00",$0.00,"$252,681.00",100.00%
,1000.0000.2400.51180.050,Support,Wages,,"$87,484.00",$0.00,"$87,484.00",,$0.00,$0.00,"$87,484.00","$115,613.73","($28,129.73)",-32.15%
,1000.0000.2400.52040.050,Admin,Benefits,,"$69,374.00",$0.00,"$69,374.00",,$0.00,$0.00,"$69,374.00",$0.00,"$69,374.00",100.00%
,1000.0000.2400.52080.050,Support,Benefits,,"$23,294.00",$0.00,"$23,294.00",,$0.00,$0.00,"$23,294.00",$0.00,"$23,294.00",100.00%
,1000.0000.2400.52340.050,Retirement,,,"$11,295.00",$0.00,"$11,295.00",,$0.00,$0.00,"$11,295.00",$0.00,"$11,295.00",100.00%
