,,,RSU5,,,
,2022-23,CAPITAL,&,FUEL RESERVE,FUNDS,
CAPITAL RESERVE FUND,,,,,,
,,Summary,as of,"January 26, 2022",,
Capital,Reserve,July,"1, 2021",,,"$500,175"
Capital,,Improvements,from,the Reserve,2020-2021,$0
Capital,,Improvements,from,the Reserve,2021-2022,$0
,Anticipated,Reserve,Balance,as of January,"26, 2022","$500,175"
,,How Funded,,,,
,2020-2021,Anticipated,,Unexpended Capital,Reserve Fund Balance,"$500,175"
,2020-2021,Undesignated,,Fund Balance,,$0
,2020-2021,Capital,Improvements,,,$0
Capital,Reserve,Fund,,,,"$500,175"
